Fecha,DÃ­aDeLaSemana,Promociones,Festivo,Ventas
2022-01-01,6,0,0,4033
2022-01-02,7,0,1,4012
2022-01-03,1,0,0,1608
2022-01-04,2,1,0,2046
2022-01-05,3,0,0,2484
2022-01-06,4,1,0,3046
2022-01-07,5,0,0,3545
2022-01-08,6,0,0,4156
2022-01-09,7,0,1,4404
2022-01-10,1,0,0,1381
2022-01-11,2,0,0,2072
2022-01-12,3,0,0,2535
2022-01-13,4,1,0,3174
2022-01-14,5,0,0,3471
2022-01-15,6,1,0,4241
2022-01-16,7,0,1,4176
2022-01-17,1,0,0,1561
2022-01-18,2,1,0,2167
2022-01-19,3,0,0,2407
2022-01-20,4,1,0,3188
2022-01-21,5,0,0,3408
2022-01-22,6,0,0,3894
2022-01-23,7,0,1,4220
2022-01-24,1,0,0,1423
2022-01-25,2,0,0,1957
2022-01-26,3,0,0,2610
2022-01-27,4,1,0,3165
2022-01-28,5,0,0,3568
2022-01-29,6,0,0,3790
2022-01-30,7,0,1,4159
2022-01-31,1,0,0,1367
2022-02-01,2,0,0,1998
2022-02-02,3,0,0,2400
2022-02-03,4,0,0,2914
2022-02-04,5,0,0,3510
2022-02-05,6,0,0,3979
2022-02-06,7,0,1,4290
2022-02-07,1,0,0,1391
2022-02-08,2,0,0,2037
2022-02-09,3,0,0,2736
2022-02-10,4,1,0,3119
2022-02-11,5,0,0,3451
2022-02-12,6,0,0,3952
2022-02-13,7,0,1,4240
2022-02-14,1,0,0,1381
2022-02-15,2,0,0,1948
2022-02-16,3,0,0,2435
2022-02-17,4,0,0,2955
2022-02-18,5,0,0,3418
2022-02-19,6,0,0,4045
2022-02-20,7,0,1,4184
2022-02-21,1,0,0,1470
2022-02-22,2,0,0,2028
2022-02-23,3,0,0,2600
2022-02-24,4,1,0,3153
2022-02-25,5,0,0,3457
2022-02-26,6,0,0,3947
2022-02-27,7,0,1,4138
2022-02-28,1,0,0,1628
2022-03-01,2,1,0,2326
2022-03-02,3,0,0,2752
2022-03-03,4,0,0,3080
2022-03-04,5,0,0,3532
2022-03-05,6,1,0,4021
2022-03-06,7,0,1,4215
2022-03-07,1,0,0,1657
2022-03-08,2,0,0,1947
2022-03-09,3,0,0,2369
2022-03-10,4,0,0,3085
2022-03-11,5,0,0,3653
2022-03-12,6,1,0,4060
2022-03-13,7,0,1,4131
2022-03-14,1,0,0,1512
2022-03-15,2,0,0,2044
2022-03-16,3,0,0,2561
2022-03-17,4,1,0,3141
2022-03-18,5,0,0,3494
2022-03-19,6,0,0,4070
2022-03-20,7,0,1,4256
2022-03-21,1,0,0,1602
2022-03-22,2,0,0,2061
2022-03-23,3,0,0,2449
2022-03-24,4,0,0,2946
2022-03-25,5,0,0,3462
2022-03-26,6,1,0,4056
2022-03-27,7,0,1,4265
2022-03-28,1,0,0,1550
2022-03-29,2,1,0,2131
2022-03-30,3,0,0,2377
2022-03-31,4,0,0,3067
2022-04-01,5,0,0,3496
2022-04-02,6,0,0,3973
2022-04-03,7,0,1,4064
2022-04-04,1,0,0,1620
2022-04-05,2,0,0,1954
2022-04-06,3,0,0,2659
2022-04-07,4,0,0,3073
2022-04-08,5,0,0,3627
2022-04-09,6,1,0,4134
2022-04-10,7,0,1,4191
2022-04-11,1,0,0,1635
2022-04-12,2,0,0,2076
2022-04-13,3,0,0,2660
2022-04-14,4,0,0,3204
2022-04-15,5,0,0,3524
2022-04-16,6,0,0,3972
2022-04-17,7,0,1,4282
2022-04-18,1,0,0,1539
2022-04-19,2,0,0,1966
2022-04-20,3,0,0,2531
2022-04-21,4,1,0,2944
2022-04-22,5,0,0,3626
2022-04-23,6,0,0,3848
2022-04-24,7,0,1,3996
2022-04-25,1,0,0,1426
2022-04-26,2,1,0,2083
2022-04-27,3,0,0,2502
2022-04-28,4,1,0,3188
2022-04-29,5,0,0,3590
2022-04-30,6,0,0,4044
2022-05-01,7,0,1,4228
2022-05-02,1,0,0,1506
2022-05-03,2,1,0,2289
2022-05-04,3,0,0,2598
2022-05-05,4,0,0,3038
2022-05-06,5,0,0,3370
2022-05-07,6,0,0,4074
2022-05-08,7,0,1,4021
2022-05-09,1,0,0,1503
2022-05-10,2,1,0,2291
2022-05-11,3,0,0,2346
2022-05-12,4,0,0,3075
2022-05-13,5,0,0,3334
2022-05-14,6,0,0,3904
2022-05-15,7,0,1,4207
2022-05-16,1,0,0,1324
2022-05-17,2,0,0,2097
2022-05-18,3,0,0,2408
2022-05-19,4,0,0,2964
2022-05-20,5,0,0,3502
2022-05-21,6,0,0,4042
2022-05-22,7,0,1,4089
2022-05-23,1,0,0,1683
2022-05-24,2,1,0,2140
2022-05-25,3,0,0,2662
2022-05-26,4,0,0,3013
2022-05-27,5,0,0,3549
2022-05-28,6,0,0,3912
2022-05-29,7,0,1,4185
2022-05-30,1,0,0,1604
2022-05-31,2,0,0,2098
2022-06-01,3,0,0,2548
2022-06-02,4,1,0,3182
2022-06-03,5,0,0,3299
2022-06-04,6,0,0,4040
2022-06-05,7,0,1,4164
2022-06-06,1,0,0,1379
2022-06-07,2,0,0,1977
2022-06-08,3,0,0,2425
2022-06-09,4,0,0,3331
2022-06-10,5,0,0,3345
2022-06-11,6,1,0,4344
2022-06-12,7,0,1,4270
2022-06-13,1,0,0,1453
2022-06-14,2,0,0,2016
2022-06-15,3,0,0,2576
2022-06-16,4,1,0,3212
2022-06-17,5,0,0,3441
2022-06-18,6,1,0,4202
2022-06-19,7,0,1,4223
2022-06-20,1,0,0,1415
2022-06-21,2,1,0,2160
2022-06-22,3,0,0,2591
2022-06-23,4,0,0,2989
2022-06-24,5,0,0,3516
2022-06-25,6,0,0,3984
2022-06-26,7,0,1,4322
2022-06-27,1,0,0,1651
2022-06-28,2,1,0,2110
2022-06-29,3,0,0,2539
2022-06-30,4,0,0,3117
2022-07-01,5,0,0,3469
2022-07-02,6,0,0,3997
2022-07-03,7,0,1,4227
2022-07-04,1,0,0,1483
2022-07-05,2,1,0,2081
2022-07-06,3,0,0,2503
2022-07-07,4,1,0,3010
2022-07-08,5,0,0,3545
2022-07-09,6,0,0,4107
2022-07-10,7,0,1,4187
2022-07-11,1,0,0,1545
2022-07-12,2,0,0,2043
2022-07-13,3,0,0,2261
2022-07-14,4,0,0,2894
2022-07-15,5,0,0,3398
2022-07-16,6,1,0,4206
2022-07-17,7,0,1,4290
2022-07-18,1,0,0,1347
2022-07-19,2,1,0,2200
2022-07-20,3,0,0,2449
2022-07-21,4,1,0,3238
2022-07-22,5,0,0,3551
2022-07-23,6,1,0,4201
2022-07-24,7,0,1,4196
2022-07-25,1,0,0,1692
2022-07-26,2,0,0,1980
2022-07-27,3,0,0,2438
2022-07-28,4,1,0,3308
2022-07-29,5,0,0,3340
2022-07-30,6,1,0,4180
2022-07-31,7,0,1,4173
2022-08-01,1,0,0,1556
2022-08-02,2,0,0,1923
2022-08-03,3,0,0,2526
2022-08-04,4,1,0,3048
2022-08-05,5,0,0,3298
2022-08-06,6,0,0,3936
2022-08-07,7,0,1,4278
2022-08-08,1,0,0,1475
2022-08-09,2,1,0,2022
2022-08-10,3,0,0,2627
2022-08-11,4,1,0,3074
2022-08-12,5,0,0,3319
2022-08-13,6,1,0,4186
2022-08-14,7,0,1,4382
2022-08-15,1,0,0,1532
2022-08-16,2,1,0,2335
2022-08-17,3,0,0,2380
2022-08-18,4,0,0,3152
2022-08-19,5,0,0,3539
2022-08-20,6,0,0,3967
2022-08-21,7,0,1,4233
2022-08-22,1,0,0,1422
2022-08-23,2,1,0,2119
2022-08-24,3,0,0,2720
2022-08-25,4,0,0,3080
2022-08-26,5,0,0,3655
2022-08-27,6,1,0,4128
2022-08-28,7,0,1,4259
2022-08-29,1,0,0,1543
2022-08-30,2,1,0,2102
2022-08-31,3,0,0,2507
2022-09-01,4,0,0,2879
2022-09-02,5,0,0,3618
2022-09-03,6,1,0,4350
2022-09-04,7,0,1,4107
2022-09-05,1,0,0,1492
2022-09-06,2,1,0,2251
2022-09-07,3,0,0,2564
2022-09-08,4,1,0,3260
2022-09-09,5,0,0,3608
2022-09-10,6,0,0,3906
2022-09-11,7,0,1,4294
2022-09-12,1,0,0,1378
2022-09-13,2,1,0,2249
2022-09-14,3,0,0,2591
2022-09-15,4,1,0,3182
2022-09-16,5,0,0,3477
2022-09-17,6,1,0,4125
2022-09-18,7,0,1,4224
2022-09-19,1,0,0,1528
2022-09-20,2,1,0,2152
2022-09-21,3,0,0,2433
2022-09-22,4,1,0,3175
2022-09-23,5,0,0,3457
2022-09-24,6,1,0,4013
2022-09-25,7,0,1,4184
2022-09-26,1,0,0,1497
2022-09-27,2,0,0,1965
2022-09-28,3,0,0,2661
2022-09-29,4,0,0,3061
2022-09-30,5,0,0,3398
2022-10-01,6,0,0,4023
2022-10-02,7,0,1,4139
2022-10-03,1,0,0,1467
2022-10-04,2,0,0,2195
2022-10-05,3,0,0,2495
2022-10-06,4,0,0,2918
2022-10-07,5,0,0,3461
2022-10-08,6,0,0,3988
2022-10-09,7,0,1,4012
2022-10-10,1,0,0,1434
2022-10-11,2,0,0,1903
2022-10-12,3,0,0,2698
2022-10-13,4,0,0,2644
2022-10-14,5,0,0,3426
2022-10-15,6,1,0,4236
2022-10-16,7,0,1,4070
2022-10-17,1,0,0,1613
2022-10-18,2,1,0,2256
2022-10-19,3,0,0,2548
2022-10-20,4,1,0,3054
2022-10-21,5,0,0,3589
2022-10-22,6,1,0,4199
2022-10-23,7,0,1,4113
2022-10-24,1,0,0,1305
2022-10-25,2,1,0,2223
2022-10-26,3,0,0,2447
2022-10-27,4,1,0,3130
2022-10-28,5,0,0,3471
2022-10-29,6,1,0,4090
2022-10-30,7,0,1,4288
2022-10-31,1,0,0,1490
2022-11-01,2,1,0,2113
2022-11-02,3,0,0,2493
2022-11-03,4,0,0,2864
2022-11-04,5,0,0,3433
2022-11-05,6,1,0,4200
2022-11-06,7,0,1,4192
2022-11-07,1,0,0,1560
2022-11-08,2,0,0,2121
2022-11-09,3,0,0,2527
2022-11-10,4,0,0,2899
2022-11-11,5,0,0,3466
2022-11-12,6,0,0,4044
2022-11-13,7,0,1,4384
2022-11-14,1,0,0,1451
2022-11-15,2,1,0,2179
2022-11-16,3,0,0,2555
2022-11-17,4,0,0,2978
2022-11-18,5,0,0,3317
2022-11-19,6,0,0,4088
2022-11-20,7,0,1,4295
2022-11-21,1,0,0,1508
2022-11-22,2,1,0,2246
2022-11-23,3,0,0,2378
2022-11-24,4,0,0,3070
2022-11-25,5,0,0,3397
2022-11-26,6,1,0,4185
2022-11-27,7,0,1,4167
2022-11-28,1,0,0,1591
2022-11-29,2,0,0,1943
2022-11-30,3,0,0,2520
2022-12-01,4,0,0,3068
2022-12-02,5,0,0,3386
2022-12-03,6,0,0,4088
2022-12-04,7,0,1,4198
2022-12-05,1,0,0,1477
2022-12-06,2,1,0,2218
2022-12-07,3,0,0,2565
2022-12-08,4,1,0,3254
2022-12-09,5,0,0,3465
2022-12-10,6,1,0,4404
2022-12-11,7,0,1,4300
2022-12-12,1,0,0,1553
2022-12-13,2,1,0,2174
2022-12-14,3,0,0,2515
2022-12-15,4,0,0,2876
2022-12-16,5,0,0,3670
2022-12-17,6,0,0,3997
2022-12-18,7,0,1,4341
2022-12-19,1,0,0,1519
2022-12-20,2,1,0,2298
2022-12-21,3,0,0,2586
2022-12-22,4,1,0,3115
2022-12-23,5,0,0,3466
2022-12-24,6,0,0,3875
2022-12-25,7,0,1,4204
2022-12-26,1,0,0,1398
2022-12-27,2,1,0,2189
2022-12-28,3,0,0,2548
2022-12-29,4,0,0,3018
2022-12-30,5,0,0,3591
2022-12-31,6,1,0,4351
